complaint_text,sector
Loudspeakers used at night disturbing sleep - severe issue since yesterday,PublicSafety
Street lights not working at night - severe issue for many days,Electricity
Waste dumped in open area creating strong smell - serious issue today - no one is taking action,Sanitation
Traffic signals no working properly at busy junctions - urgent issue regularly - this is urgent,Transport
Railway crossing gate not working causing traffic jams - frequent issue regularly,Transport
Hospital toilets unhygienic and unusable,Health
Noise pollution from nearby factory at night - minor issue since last week,Other
Noise pollution from nearby factory at night - repeated issue regularly,Other
Hospital toilets unhygienic and unusable - severe issue for a month - please take action,Health
Railway crossing gate not working causing traffic jams - repeated issue regularly - please resolve asap - plz,Transport
Transformer making unusual noise and sparking - major issue for many days,Electricity
No drinking water supply since yesterday - repeated issue since yesterday,Water
Illegal sand mining observed nearby - serious issue since yesterday,PublicSafety
Kindly note: Electric pole leaning dangerously and may fall - minor issue for many days - kripya isko thik karein,Electricity
"Paddy crops affected by pest attack, need support - minor issue for a month",Agriculture
Loudspeakers used at night disturbing sleep,PublicSafety
Voltage fluctuations damaging appliances - frequent issue for the past few days,Electricity
Street is damaged and difficult for vehicles - urgent issue today,Roads
 Tap water is muddy and smells bad,Water
Government office staff rude and not helpful - severe issue since last week,Other
No proper drinking water facility in school - severe issue regularly - cheppandi emi chestaru,Education
Teachers absent regularly and classes not held - severe issue regularly,Education
No proper drinking water facility in school - serious issue for the past few days,Education
Need new ration card application processed quickly - serious issue for many days,Other
Voltage fluctuations damaging appliances - serious issue regularly - plz solve asap,Electricity
Kindly note: Teachers absent regularly and classes not held - serious issue since yesterday - requesting help,Education
Street is damaged and difficult for vehicles - severe issue today,Roads
Aadhaar update facility not available at office,Other
Complaint: Street lights not working at night - repeated issue for a month - please resolve asap,Electricity
Voltage fluctuations damaging appliances - severe issue since yesterday,Electricity
Medicines not available in government hospital pharmacy - major issue today - requesting help,Health
Ambulance not arriving quickly during emergencies - frequent issue since yesterday,Health
Kindly note: Street is damaged and difficult for vehicles - minor issue since last week,Roads
Street lights not working at night - major issue for the past few days,Electricity
Kindly note: Ambulance not arriving quickly during emergencies - serious issue for a month,Health
Sewage water overflowing on the street - major issue for many days - please resolve asap,Sanitation
Seeds never available on time for farmers - frequent issue today,Agriculture
Illegal sand mining observed nearby - severe issue regularly,PublicSafety
Ambulance not arriving quickly during emergencies - frequent issue since yesterday,Health
Attention: Drunken driving at night causing danger - repeated issue for many days - kripya isko thik karein,PublicSafety
Need new ration card application processed quickly - major issue for a month,Other
Kindly nevere: Garbage not collected for many days - minor issue since last week,Sanitation
School building walls are cracked and unsafe - severe issue since yesterday,Education
Ambulance not arriving quickly during emergencies,Health
Health center closed during working hours - serious issue since yesterday,Health
Overhead water tank leaking heavily - serious issue regularly,Water
Pipeline leakage flooding the street - major issue for the past few days - this is urgent,Water
Garbage not collected for many days - serious issue for the past few days - cheppandi emi chestaru,Sanitation
Voltage fluctuations damaging appliances - repeated issue regularly,Electricity
Sewage water overflowing on the street - major issue for a month,Sanitation
School building walls are cracked and unsafe - urgent issue for the past few days,Education
Sewage water overflowing on the street - serious issue since last week - please take action,Sanitation
Health center closed during working hours - minor issue regularly - requesting help,Health
Railway crossing gate no working causing traffic jams - repeated issue today,Transport
School building walls are cracked and unsafe - major issue for many days - this is urgent,Education
Debris blocking the road and not cleared - serious issue for a month - requesting help,Roads
No proper drinking water facility in school - serious issue for a month,Education
"Stray dogs attacking people, need control measures - frequent issue for many days",Health
Divider damaged and unsafe for traffic - urgent issue for the past few days - kindly fix this,Roads
Overhead water tank leaking heavily - urgent issue regularly - no one is taking action,Water
Potholes on the main road causing accidents - severe issue today,Roads
Complaint: Sewage water overflowing on the street - minor issue for the past few days,Sanitation
Need new ration card application processed quickly - repeated issue for a month,Other
Traffic signals not working properly at busy junctions,Transport
Tap water is muddy and smells bad - repeated issue for a month - kripya isko thik karein,Water
Speeding vehicles in residential area need control - frequent issue for the past few days - please take action,PublicSafety
School needs more benches and fans,Education
Attention: Seeds no available on time for farmers - major issue for the past few days - cheppandi emi chestaru,Agriculture
Railway crossing gate not working causing traffic jams - major issue regularly - kripya isko thik karein,Transport
Potholes on the main road causing accidents - urgent issue today,Roads
Potholes on the main road causing accidents - severe issue for a month - this is urgent,Roads
Attention: Need new ration card application processed quickly - severe issue today,Other
No drinking water supply since yesterday - frequent issue regularly - plz solve asap,Water
Government office staff rude and not helpful - frequent issue for a month - cheppandi emi chestaru,Other
Street lights not working at night - frequent issue for many days - requesting help,Electricity
Bus stop lacks shelter and seating for passengers - major issue today - please take action,Transport
Crop insurance claim pending for a long time - urgent issue for a month,Agriculture
Tap water is muddy and smells bad - repeated issue since yesterday,Water
Sewage water overflowing on the street - minor issue for a month,Sanitation
"Stray dogs attacking people, need control measures - frequent issue regularly",Health
Frequent power cuts disturbing daily life - serious issue since yesterday - requesting help,Electricity
Delay in pension disbursement for senior citizens - severe issue for a month,Other
Overhead water tank leaking heavily - minor issue today - please resolve asap,Water
Transformer making unusual noise and sparking - minor issue for a month,Electricity
Kindly note: Railway crossing gate not working causing traffic jams - urgent issue today,Transport
Complaint: Garbage not collected for many days - urgent issue since last week,Sanitation
Transformer making unusual noise and sparking - severe issue for a month,Electricity
Street lights not working at night - frequent issue for the past few days - kindly fix this,Electricity
Irregular water supply causing problems - repeated issue for the past few days,Water
Fertilizer subsidy not credited to farmers,Agriculture
Kindly note: Sewage water overflowing on the street - severe issue today - please resolve asap,Sanitation
Ambulance not arriving quickly during emergencies - serious issue today - no one is taking action,Health
Hospital toilets unhygienic and unusable - urgent issue today - please resolve asap,Health
Public toilet is filthy and unusable - repeated issue since yesterday,Sanitation
 Garbage not collected for many days - major issue for the past few days,Sanitation
Tap water is muddy and smells bad - minor issue regularly,Water
Health center closed during working hours - minor issue today - plz solve asap,Health
Complaint: No proper drinking water facility in school - repeated issue for the past few days - kripya,Education
Bus stop lacks shelter and seating for passengers - minor issue today,Transport
Loudspeakers used at night disturbing sleep - severe issue for the past few days,PublicSafety
 Bus stop lacks shelter and seating for passengers - minor issue for many days,Transport
Potholes on the main road causing accidents - repeated issue since yesterday,Roads
Debris blocking the road and not cleared,Roads
Crop insurance claim pending for a long time - serious issue since last week,Agriculture
Attention: Electric pole leaning dangerously and may fall - urgent issue regularly,Electricity
Divider damaged and unsafe for traffic - repeated issue since yesterday,Roads
Health center closed during working hours - severe issue for the past few days,Health
Electric pole leaning dangerously and may fall - severe issue since last week,Electricity
Loudspeakers used at night disturbing sleep - major issue for a month,PublicSafety
Waste dumped in open area creating strong smell - severe issue for a month - kripya,Sanitation
Kindly note: Overhead water tank leaking heavily - severe issue since yesterday,Water
Government office staff rude and not helpful - repeated issue for many days,Other
Kindly note: Street is damaged and difficult for vehicles - this is urgent,Roads
School building walls are cracked and unsafe - frequent issue since yesterday,Education
Loudspeakers used at night disturbing sleep - frequent issue since last week,PublicSafety
Hospital toilets unhygienic and unusable - major issue since last week,Health
Kindly note: Health center closed during working hours - repeated issue today - requesting help,Health
Noise pollution from nearby factory at night - repeated issue since yesterday,Other
Complaint: Open drains causing mosquito problem - urgent issue since yesterday,Sanitation
Seeds not available on time for farmers - severe issue since yesterday - cheppandi emi chestaru,Agriculture
Open drains causing mosquito problem - serious issue for the past few days,Sanitation
Divider damaged and unsafe for traffic - asap issue since yesterday,Roads
Waste dumped in open area creating strong smell - major issue for the past few days,Sanitation
Mid-day meal quality is poor and insufficient - severe issue today,Education
Chain snatching incidents reported in the area - serious issue for a month,PublicSafety
Illegal sand mining observed nearby,PublicSafety
Debris blocking the road and never cleared - minor issue regularly,Roads
Crop insurance claim pending for a long time - serious issue today,Agriculture
Health center closed during working hours - frequent issue since yesterday,Health
Ambulance not arriving quickly during emergencies - major issue for the past few days,Health
Pipeline leakage flooding the street - plz solve asap,Water
Sewage water overflowing on the street - urgent issue since yesterday,Sanitation
Delay in pension disbursement for senior citizens - severe issue today,Other
Street is damaged and difficult for vehicles - frequent issue since last week,Roads
Frequent power cuts disturbing daily life - urgent issue for a month - cheppandi emi chestaru,Electricity
Hospital toilets unhygienic and unusable - severe issue since yesterday - no one is taking action,Health
Noise pollution from nearby factory at night - repeated issue since yesterday,Other
Kindly note: Traffic signals not working properly at busy junctions - major issue since last week - kripya,Transport
Kindly note: Voltage fluctuations damaging appliances - minor issue for the past few days,Electricity
Attention: Delay in pension disbursement for senior citizens - urgent issue regularly,Other
 Footpath broken and dangerous for pedestrians - immediate issue for a month,Roads
Kindly note: Crop insurance claim pending for a long time - severe issue regularly,Agriculture
Kindly note: Railway crossing gate not working causing traffic jams - severe issue since last week,Transport
Ambulance never arriving quickly during emergencies - major issue regularly - please resolve,Health
Attention: Potholes on the main road causing accidents - frequent issue today - please resolve asap,Roads
Garbage not collected for many days - major issue for a month,Sanitation
Irregular water supply causing problems - serious issue for the past few days,Water
Traffic signals not working properly at busy junctions - repeated issue today,Transport
Drunken driving at night causing danger - kripya isko thik karein,PublicSafety
Aadhaar update facility not available at office - frequent issue since last week - no one is taking action,Other
Pipeline leakage flooding the street - repeated issue regularly,Water
Street lights not working at night - repeated issue for the past few days,Electricity
Transformer making unusual noise and sparking - minor issue regularly,Electricity
Transformer making unusual noise and sparking,Electricity
 School building walls are cracked and unsafe - major issue today,Education
Mid-day meal quality is poor and insufficient - frequent issue since yesterday,Education
Debris blocking the road and not cleared - repeated issue since yesterday,Roads
Noise pollution from nearby factory at night - repeated issue for a month,Other
Ambulance not arriving quickly during emergencies - major issue today - kripya isko thik karein,Health
"Paddy crops affected by pest attack, need support - minor issue since last week - please take action",Agriculture
Crop insurance claim pending for a long time - urgent issue for a month - kripya isko thik karein,Agriculture
Drunken driving at night causing danger - urgent issue since last week - please fix,PublicSafety
 Hospital toilets unhygienic and unusable - urgent issue since last week,Health
Electric pole leaning dangerously and may fall - serious issue since yesterday,Electricity
Drunken driving at night causing danger - serious issue for the past few days - this is urgent,PublicSafety
Loudspeakers used at night disturbing sleep - severe issue since yesterday - kindly fix this,PublicSafety
City bus route cancelled suddenly without notice - major issue for many days - this is urgent,Transport
Loudspeakers used at night disturbing sleep - please take action,PublicSafety
Kindly note: Tap waater is muddy and smells bad - severe issue regularly,Water
Divider damaged and unsafe for traffic - repeated issue since last week,Roads
Complaint: Divider damaged and unsafe for traffic - major issue today,Roads
Debris blocking the road and not cleared - severe issue for many days,Roads
Chain snatching incidents reported in the area - major issue for many days - requesting help,PublicSafety
Railway crossing gate not working causing traffic jams - repeated issue today - plz solve asap,Transport
Drunken driving at night causing danger - major issue since last week,PublicSafety
Irregular water supply causing problems - repeated issue since yesterday,Water
Chain snatching incidents reported in the area - serious issue for a month,PublicSafety
Irregular water supply causing problems - serious issue regularly - this is urgent,Water
Electric pole leaning dangerously and may fall - repeated issue since last week,Electricity
No proper drinking water facility in school,Education
Health center closed during working hours,Health
Noise pollution from nearby factory at night - major issue for the past few days,Other
Delay in pension disbursement for senior citizens - severe issue for many days - please take action,Other
Debris blocking the road and not cleared - repeated issue for a month - cheppandi emi chestaru - cheppandi,Roads
Mid-day meal quality is poor and insufficient - severe issue since last week - please take action,Education
Government office staff rude and not helpful - frequent issue for many days - kindly fix this,Other
Complaint: Potholes on the main road causing accidents - urgent issue today,Roads
Pipeline leakage flooding the street - frequent issue since last week,Water
Aadhaar update facility not available at office - severe issue for a month - requesting help,Other
Illegal sand mining observed nearby - severe issue since last week,PublicSafety
"Paddy crops affected by pest attack, need support - minor issue for the past few days - kindly fix this",Agriculture
Ambulance not arriving quickly during emergencies - urgent issue for many days - requesting help,Health
Waste dumped in open area creating strong smell - major issue since last week - this is urgent,Sanitation
Electric pole leaning dangerously and may fall - urgent issue for a month,Electricity
Medicines not available in government hospital pharmacy - severe issue regularly,Health
Teachers absent regularly and classes not held - serious issue today - please take action,Education
City bus route cancelled suddenly without notice - urgent issue regularly,Transport
Divider damaged and unsafe for traffic - urgent issue for a month,Roads
Voltage fluctuations damaging appliances - major issue for many days,Electricity
No proper drinking water facility in school - repeated issue regularly,Education
Loudspeakers used at night disturbing sleep - serious issue today,PublicSafety
Divider damaged and unsafe for traffic - severe issue since yesterday,Roads
"Stray dogs attacking people, need control measures - severe issue for a month",Health
Traffic signals not working properly at busy junctions - minor issue regularly,Transport
Speeding vehicles in residential area need control - severe issue today - please take action,PublicSafety
Electric pole leaning dangerously and may fall - minor issue regularly,Electricity
Health center closed during working hours,Health
Attention: Frequent power cuts disturbing daily life - repeated issue since last week - please resolve asap,Electricity
Chain snatching incidents reported in the area - severe issue since last week - plz solve asap,PublicSafety
Open drains causing mosquito problem - asap issue regularly,Sanitation
Potholes on the main road causing accidents - repeated issue since last week,Roads
Transformer making unusual noise and sparking - frequent issue regularly,Electricity
"Stray dogs attacking people, need control measures - serious issue for a month",Health
Fertilizer subsidy not credited to farmers,Agriculture
Transformer making unusual noise and sparking - major issue for many days,Electricity
City bus route cancelled suddenly without notice - frequent issue today,Transport
Hospital toilets unhygienic and unusable - serious issue regularly - no one is taking action,Health
Transformer making unusual noise and sparking - minor issue for the past few days - please take action,Electricity
Overhead water tank leaking heavily - repeated issue today,Water
Irregular water supply causing problems - major issue regularly,Water
Fertilizer subsidy not credited to farmers - urgent issue for the past few days,Agriculture
Garbage not collected for many days - severe issue for many days - plz solve asap,Sanitation
Ambulance not arriving quickly during emergencies - urgent issue regularly,Health
Potholes on the main road causing accidents - major issue for many days,Roads
School building walls are cracked and unsafe - severe issue for the past few days - kripya,Education
No drinking water supply since yesterday - severe issue for the past few days - kindly fix this,Water
Loudspeakers used at night disturbing sleep - serious issue since yesterday - requesting help,PublicSafety
Drunken driving at night causing danger - severe issue since yesterday - please resolve,PublicSafety
Debris blocking the road and not cleared - major issue for many days,Roads
Aadhaar update facility not available at office - urgent issue since last week - kindly fix this,Other
Electric pole leaning dangerously and may fall - serious issue today,Electricity
Complaint: Potholes on the main road causing accidents - repeated issue for the past few days,Roads
Teachers absent regularly and classes not held - asap issue today - this is urgent,Education
Loudspeakers used at night disturbing sleep - repeated issue for a month,PublicSafety
Noise pollution from nearby factory at night,Other
Divider damaged and unsafe for traffic - major issue for the past few days - cheppandi emi chestaru,Roads
Auto drivers overcharging passengers on routes - minor issue today,Transport
School building walls are cracked and unsafe - severe issue today,Education
Irrigation water not reaching the fields - severe issue regularly,Agriculture
 Garbage not collected for many days - please take action,Sanitation
Frequent power cuts disturbing daily life - repeated issue since last week,Electricity
Need new ration card application processed quickly,Other
Attention: Street is damaged and difficult for vehicles - severe issue since yesterday,Roads
City bus route cancelled suddenly without notice - serious issue for many days,Transport
Fertilizer subsidy not credited to farmers - serious issue for many days - please fix,Agriculture
 Irrigation water not reaching the fields - repeated issue regularly,Agriculture
Kindly note: Hospital toilets unhygienic and unusable - repeated issue today,Health
"Paddy crops affected by pest attack, need support - frequent issue regularly - this is urgent",Agriculture
Pipeline leakage flooding the street - severe issue since yesterday,Water
Street is damaged and difficult for vehicles - minor issue for a month,Roads
Medicines not available in government hospital pharmacy - urgent issue today,Health
Speeding vehicles in residential area need control - severe issue for many days,PublicSafety
 Need new ration card application processed quickly - minor issue since last week - requesting help,Other
Voltage fluctuations damaging appliances - please resolve asap,Electricity
Drunken driving at night causing danger,PublicSafety
Street lights not working at night - urgent issue for the past few days - kripya isko thik karein,Electricity
Tap water is muddy and smells bad - minor issue since last week,Water
Medicines not available in government hospital pharmacy - please resolve asap,Health
No drinking water supply since yesterday - urgent issue for the past few days,Water
 Street is damaged and difficult for vehicles - serious issue since yesterday - please take action,Roads
Complaint: Medicines not available in government hospital pharmacy - severe issue for many days - plz,Health
Teachers absent regularly and classes not held - severe issue since last week - please take action,Education
No drinking water supply since yesterday,Water
Bus stop lacks shelter and seating for passengers,Transport
Railway crossing gate not working causing traffic jams - severe issue for the past few days,Transport
Traffic signals not working properly at busy junctions - severe issue since yesterday,Transport
Irrigation water not reaching the fields - major issue since yesterday,Agriculture
Complaint: Aadhaar update facility not available at office - serious issue regularly,Other
 Teachers absent regularly and classes not held - frequent issue for many days,Education
Bus stop lacks shelter and seating for passengers - repeated issue regularly - kindly fix this,Transport
Noise pollution from nearby factory at night - serious issue since last week - plz,Other
Pipeline leakage flooding the street - please resolve asap,Water
Delay in pension disbursement for senior citizens - minor issue for many days - this is urgent,Other
Mid-day meal quality is poor and insufficient - major issue for a month - plz solve asap,Education
Sewage water overflowing on the street - minor issue for the past few days,Sanitation
Street is damaged and difficult for vehicles - repeated issue for a month,Roads
Kindly note: Fertilizer subsidy not credited to farmers - severe issue since last week,Agriculture
Railway crossing gate not working causing traffic jams - serious issue regularly - kindly fix this,Transport
Complaint: Waste dumped in open area creating strong smell - minor issue since last week - this is urgent,Sanitation
Bus stop lacks shelter and seating for passengers - severe issue today,Transport
 Open drains causing mosquito concern - minor issue for the past few days,Sanitation
"Stray dogs attacking people, need control measures - urgent issue for many days",Health
Garbage not collected for many days - minor issue for a month,Sanitation
Crop insurance claim pending for a long time - serious issue for the past few days - requesting help,Agriculture
Kindly note: Illegal sand mining observed nearby - frequent issue since last week,PublicSafety
Footpath broken and dangerous for pedestrians - frequent issue since last week,Roads
City bus route cancelled suddenly without notice - major issue since last week - kripya isko thik karein,Transport
Public toilet is dirty and unusable - serious issue since yesterday - please fix,Sanitation
Open drains causing mosquito problem - serious issue since yesterday,Sanitation
Public toilet is dirty and unusable - major issue for the past few days,Sanitation
Attention: Irregular water supply causing problems - severe issue since last week,Water
Traffic signals not working properly at busy junctions - minor issue for a month,Transport
 Delay in pension disbursement for senior citizens,Other
Auto drivers overcharging passengers on routes - severe issue since last week,Transport
No proper drinking water facility in school - urgent issue since last week,Education
Drunken driving at night causing danger - serious issue for many days,PublicSafety
Waste dumped in open area creating strong smell - major issue for many days,Sanitation
Kindly note: School needs more benches and fans - frequent issue today - please fix,Education
Street is damaged and difficult for vehicles - frequent issue for the past few days,Roads
Crop insurance claim pending for a long time - frequent issue since last week - kripya isko thik karein,Agriculture
Frequent power cuts disturbing daily life - minor issue for the past few days,Electricity
School needs more benches and fans - frequent issue for many days,Education
Kindly note: No proper drinking water facility in school - minor issue for many days,Education
Speeding vehicles in residential area need control - serious issue today - kindly fix this,PublicSafety
Complaint: Public toilet is dirty and unusable - severe issue since yesterday,Sanitation
Chain snatching incidents reported in the area - repeated issue since yesterday,PublicSafety
Overhead water tank leaking heavily - minor issue for the past few days,Water
Bus stop lacks shelter and seating for passengers - severe issue since yesterday - please resolve asap,Transport
Complaint: Debris blocking the road and not cleared - repeated issue since yesterday,Roads
 Loudspeakers used at night disturbing sleep - major issue for a month - this is urgent,PublicSafety
Loudspeakers used at night disturbing sleep - minor issue today - please resolve asap,PublicSafety
 Crop insurance claim pending for a long time - major issue since yesterday,Agriculture
Delay in pension disbursement for senior citizens - severe issue for the past few days - please resolve asap,Other
Need new ration card application processed quickly - severe issue for a month,Other
Street lights not working at night - severe issue for a month,Electricity
Tap water is muddy and smells bad - repeated issue since yesterday,Water
Aadhaar update facility not available at office - severe issue since last week,Other
Illegal sand mining observed nearby - major issue for the past few days,PublicSafety
Potholes on the main road causing accidents - major issue for many days - kindly fix this,Roads
No proper drinking water facility in school - frequent issue since last week - please take action,Education
School building walls are cracked and unsafe - repeated issue since yesterday,Education
Garbage not collected for many days - severe issue for the past few days - cheppandi emi chestaru,Sanitation
Health center closed during working hours - repeated issue today,Health
Potholes on the main road causing accidents - immediate issue for many days,Roads
Aadhaar update facility not available at office - severe issue regularly,Other
Transformer making unusual noise and sparking - frequent issue for many days,Electricity
Footpath broken and dangerous for pedestrians - urgent issue today,Roads
Railway crossing gate not working causing traffic jams - severe issue for the past few days,Transport
Pipeline leakage flooding the street - serious issue today,Water
 Irrigation water not reaching the fields - urgent issue for a month - please resolve asap,Agriculture
Seeds not available on time for farmers - urgent issue regularly,Agriculture
Street lights not working at night - minor issue since last week - requesting help,Electricity
Seeds not available on time for farmers - urgent issue since last week,Agriculture
Electric pole leaning dangerously and may fall - minor issue for many days,Electricity
Ambulance not arriving quickly during emergencies - frequent issue for many days,Health
Open drains causing mosquito problem - serious issue today,Sanitation
Street lights not working at night - minor issue since yesterday - please take action,Electricity
Teachers absent regularly and classes not held - frequent issue for the past few days,Education
Bus stop lacks shelter and seating for passengers - repeated issue for the past few days - kindly fix this,Transport
Debris blocking the road and not cleared - repeated issue regularly,Roads
Electric pole leaning dangerously and may fall - minor issue today,Electricity
Complaint: Illegal sand mining observed nearby - repeated issue today,PublicSafety
Waste dumped in open area creating strong smell - frequent issue regularly - plz,Sanitation
Street is damaged and difficult for vehicles - major issue for the past few days,Roads
Garbage not collected for many days - frequent issue for the past few days - this is urgent - kripya,Sanitation
Irregular water supply causing problems - major issue for many days - cheppandi emi chestaru,Water
Bus stop lacks shelter and seating for passengers - minor issue for the past few days - please take action - please resolve,Transport
Teachers absent regularly and classes not held - repeated issue regularly,Education
Hospital toilets unhygienic and unusable - serious issue since yesterday,Health
Drunken driving at night causing danger - minor issue for many days - kripya isko thik karein,PublicSafety
Garbage not collected for many days - repeated issue regularly - kripya isko thik karein,Sanitation
Drunken driving at night causing danger - urgent issue for the past few days - kindly fix this,PublicSafety
Speeding vehicles in residential area need control - major issue since yesterday,PublicSafety
Attention: Potholes on the main road causing accidents - frequent issue for a month,Roads
School building walls are cracked and unsafe - frequent issue since yesterday - please take action,Education
Irrigation water not reaching the fields - minor issue for many days,Agriculture
Crop insurance claim pending for a long time - minor issue since yesterday,Agriculture
Debris blocking the road and not cleared - frequent issue regularly,Roads
Debris blocking the road and not cleared - repeated issue for many days,Roads
Waste dumped in open area creating strong smell - urgent issue for many days,Sanitation
Tap water is muddy and smells bad - serious issue today,Water
Irregular water supply causing problems - severe issue regularly,Water
Government office staff rude and not helpful - repeated issue for a month,Other
Aadhaar update facility not available at office - severe issue today,Other
Attention: Street lights not working at night - frequent issue for many days,Electricity
 Debris blocking the road and not cleared - repeated issue since yesterday,Roads
School building walls are cracked and unsafe - frequent issue since yesterday - kindly fix this,Education
Debris blocking the road and not cleared - major issue since yesterday,Roads
Speeding vehicles in residential area need control - severe issue since yesterday,PublicSafety
 Open drains causing mosquito problem - frequent issue since last week - please resolve asap,Sanitation
Attention: Speeding vehicles in residential area need control - please resolve asap - please fix,PublicSafety
Attention: Garbage no collected for many days - severe issue for a month - plz solve asap,Sanitation
Railway crossing gate not working causing traffic jams,Transport
Tap water is muddy and smells bad - serious issue regularly - this is immediate,Water
Attention: Need new ration card application processed quickly - serious issue for many days - please resolve asap,Other
Complaint: Need new ration card application processed quickly - major issue since last week,Other
Attention: Hospital toilets unhygienic and unusable - urgent issue since yesterday,Health
Transformer making unusual noise and sparking - urgent issue since last week,Electricity
Delay in pension disbursement for senior citizens - severe issue for the past few days - plz solve asap,Other
Garbage not collected for many days,Sanitation
 Waste dumped in open area creating strong smell - repeated issue since yesterday,Sanitation
Crop insurance claim pending for a long time - major issue for a month,Agriculture
Transformer making unusual noise and sparking - frequent issue for many days,Electricity
City bus route cancelled suddenly without notice - repeated issue since yesterday,Transport
Tap water is muddy and smells bad - serious issue today - kindly fix this,Water
Complaint: Chain snatching incidents reported in the area - repeated issue for many days,PublicSafety
Teachers absent regularly and classes not held - severe issue for the past few days,Education
Attention: Irregular water supply causing problems - frequent issue since last week,Water
Illegal sand mining observed nearby - minor issue for the past few days,PublicSafety
Health center closed during working hours - repeated issue for many days,Health
Traffic signals not working properly at busy junctions - major issue today,Transport
Debris blocking the road and not cleared - urgent issue regularly - no one is taking action,Roads
Bus stop lacks shelter and seating for passengers - repeated issue since yesterday,Transport
Medicines not available in government hospital pharmacy - major issue regularly - please take action,Health
Bus stop lacks shelter and seating for passengers - repeated issue since last week - no one is taking action,Transport
Divider damaged and unsafe for traffic - repeated issue since last week - cheppandi emi chestaru,Roads
Attention: Drunken driving at night causing danger - repeated issue regularly,PublicSafety
Garbage not collected for many days - severe issue for many days,Sanitation
No proper drinking water facility in school - minor issue for many days - cheppandi emi chestaru,Education
Pipeline leakage flooding the street - urgent issue today,Water
Noise pollution from nearby factory at night - minor issue regularly - this is immediate,Other
Street lights not working at night - major issue for the past few days - kripya,Electricity
"Stray dogs attacking people, need control measures - major issue for a month",Health
Bus stop lacks shelter and seating for passengers - repeated issue today,Transport
 Electric pole leaning dangerously and may fall - minor issue regularly - kindly fix this,Electricity
Divider damaged and unsafe for traffic - urgent issue for many days,Roads
Attention: Transformer making unusual noise and sparking - urgent issue for a month,Electricity
Kindly note: Auto drivers overcharging passengers on routes - repeated issue for a month,Transport
Garbage not collected for many days - severe issue since last week - kindly fix this,Sanitation
Debris blocking the road and not cleared - urgent issue since yesterday - requesting help,Roads
Attention: Traffic signals not working properly at busy junctions - urgent issue today,Transport
School building walls are cracked and unsafe - cheppandi emi chestaru,Education
Overhead water tank leaking heavily - minor issue since yesterday,Water
Overhead water tank leaking heavily,Water
Voltage fluctuations damaging appliances - urgent issue since last week,Electricity
"Paddy crops affected by pest attack, need support - repeated issue regularly",Agriculture
Ambulance not arriving quickly during emergencies - serious issue since last week,Health
Electric pole leaning dangerously and may fall - urgent issue today - plz solve asap,Electricity
Kindly note: Tap water is muddy and smells bad - severe issue regularly,Water
"Stray dogs attacking people, need control measures - minor issue for many days",Health
Noise pollution from nearby factory at night - repeated issue since last week - this is urgent,Other
Voltage fluctuations damaging appliances - urgent issue for many days - cheppandi emi chestaru,Electricity
School needs more benches and fans - urgent issue today,Education
Bus stop lacks shelter and seating for passengers - repeated issue since yesterday,Transport
Delay in pension disbursement for senior citizens - severe issue for many days,Other
"Attention: Stray dogs attacking people, need control measures - serious issue for the past few days",Health
Attention: Ambulance not arriving quickly during emergencies - minor issue since last week,Health
"Paddy crops affected by pest attack, need support - minor issue since yesterday",Agriculture
Voltage fluctuations damaging appliances - minor issue today - plz solve asap,Electricity
Bus stop lacks shelter and seating for passengers - urgent issue regularly - plz solve asap,Transport
No drinking water supply since yesterday - urgent issue since yesterday,Water
Fertilizer subsidy not credited to farmers - major issue since yesterday,Agriculture
Complaint: Speeding vehicles in residential area need control - repeated issue today,PublicSafety
Speeding vehicles in residential area need control - severe issue for the past few days - requesting help,PublicSafety
Railway crossing gate not working causing traffic jams - repeated issue regularly,Transport
Delay in pension disbursement for senior citizens - major issue for many days - requesting help,Other
Aadhaar update facility not available at office - frequent issue for the past few days,Other
No drinking water supply since yesterday - serious issue for many days - please resolve asap,Water
Overhead water tank leaking heavily - major issue for the past few days - kripya isko thik karein,Water
Street lights not working at night - major issue today - no one is taking action,Electricity
Health center closed during working hours - serious issue for the past few days,Health
Tap water is muddy and smells bad - serious issue since last week - cheppandi emi chestaru,Water
Health center closed during working hours - frequent issue for many days,Health
Kindly note: Traffic signals not working properly at busy junctions - serious issue for many days,Transport
 Public toilet is dirty and unusable - frequent issue since last week - kindly fix this,Sanitation
Irregular water supply causing problems - repeated issue for the past few days,Water
Fertilizer subsidy not credited to farmers - minor issue regularly,Agriculture
Irrigation water not reaching the fields - minor issue for many days - requesting help,Agriculture
Waste dumped in open area creating strong smell - major issue for the past few days,Sanitation
Traffic signals not working properly at busy junctions - urgent issue for many days - kindly fix this,Transport
"Stray dogs attacking people, need control measures - minor issue for a month - no one is taking action",Health
Kindly note: Loudspeakers used at night disturbing sleep - frequent issue for the past few days,PublicSafety
Chain snatching incidents reported in the area - minor issue for a month,PublicSafety
Potholes on the main road causing accidents - frequent issue since yesterday - please take action,Roads
Attention: Speeding vehicles in residential area need control - major issue for a month - please resolve asap,PublicSafety
Railway crossing gate not working causing traffic jams - repeated issue regularly,Transport
Complaint: Fertilizer subsidy not credited to farmers - repeated issue for many days - plz solve asap,Agriculture
Irrigation water not reaching the fields - serious issue for a month - please take action,Agriculture
Complaint: Divider damaged and unsafe for traffic - major issue regularly - cheppandi emi chestaru,Roads
